Hersteller;Produkt;Produktart;Herstellerseite (geprueft);Datenblatt-PDF (falls oeffentlich);SDS gefunden
"Klüber Lubrication";"LAMORA D 68";"SLIDEWAY_OIL";"https://www.klueber.com/us/en/products-service/products/lamora-d-68/9957/";"";"nein"
"ML Lubrication";"ML-Serie nicht wassermischbar (allgemein)";"COOLANT_NEAT";"https://www.ml-lubrication.com";"";"nein"
"ML Lubrication";"ML-Serie wassermischbar (allgemein)";"COOLANT_WATER_MIX";"https://www.ml-lubrication.com";"";"nein"
"Master Fluid Solutions";"TRIM C115";"COOLANT_WATER_MIX";"https://www.masterfluids.com/ap/en-ap/data-sheet/di.php?pid=C115";"https://www.masterfluids.com/ap/en-ap/data-sheet/di.php?pid=C115";"nein"
"Master Fluid Solutions";"TRIM E206";"COOLANT_WATER_MIX";"https://industrialfluidsmfg.twinoils.com/Asset/Trim%20E206.pdf";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=E206N";"nein"
"Master Fluid Solutions";"TRIM E860";"COOLANT_WATER_MIX";"https://www.masterfluids.com/ap/en-ap/data-sheet/di.php?pid=E860";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=E860";"nein"
"Master Fluid Solutions";"TRIM MIST";"COOLANT_WATER_MIX";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=MIST";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=MIST";"nein"
"Master Fluid Solutions";"TRIM MicroSol 515";"COOLANT_WATER_MIX";"https://www.masterfluids.com/eu/en/data-sheet/di.php?pid=MS515";"https://www.masterfluids.com/eu/en/data-sheet/di.php?pid=MS515";"nein"
"Master Fluid Solutions";"TRIM SC536";"COOLANT_WATER_MIX";"https://industrialfluidsmfg.twinoils.com/Asset/Trim%20SC536.pdf";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=SC536";"nein"
"Master Fluid Solutions";"TRIM SOL";"COOLANT_WATER_MIX";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=SOL";"https://www.masterfluids.com/na/en-us/data-sheet/di.php?pid=SOL";"nein"
"Mobil";"Mobil EAL Arctic 68";"REFRIGERATION_OIL";"https://www.mobil.com/en/lubricants/for-businesses/industrial/lubricants/products/products/mobil-eal-arctic-68";"";"nein"
"Mobil";"Mobil Rarus 827";"COMPRESSOR_OIL";"https://www.mobil.com/en/lubricants/for-businesses/industrial/lubricants/products/products/mobil-rarus-827";"";"nein"
"Mobil";"Mobil Vacmul EDM 2";"EDM_FLUID";"https://www.mobil.com/en/sap/our-products/product-series/vacmul-edm-2-3";"";"nein"
"Mobil";"Mobil Vactra Oil No. 1";"SLIDEWAY_OIL";"https://www.mobil.com/en/sap/lubricants/product-series/mobil-vactra-oil-numbered-series";"https://www.mobil.com/en-us/industrial/pds/gl-xx-mobil-vactra-oil-numbered-series";"nein"
"Mobil";"Mobil Vactra Oil No. 2";"SLIDEWAY_OIL";"https://www.mobil.com/en/lubricants/for-businesses/industrial/lubricants/products/products/mobil-vactra-oil-no-2";"https://www.mobil.com/en-us/industrial/pds/gl-xx-mobil-vactra-oil-numbered-series";"nein"
"Mobil";"Mobil Vactra Oil No. 4";"SLIDEWAY_OIL";"https://www.mobil.com/en/sap/lubricants/product-series/mobil-vactra-oil-numbered-series";"https://www.mobil.com/en-us/industrial/pds/gl-xx-mobil-vactra-oil-numbered-series";"nein"
"Mobil";"Mobil Velocite Oil No. 3";"SPINDLE_OIL";"https://www.mobil.com/en/sap/our-products/product-series/mobil-velocite-oil-no-series";"";"nein"
"Mobil";"Mobil Velocite Oil No. 4";"SPINDLE_OIL";"https://www.mobil.com/en/sap/our-products/product-series/mobil-velocite-oil-no-series";"";"nein"
"Mobil";"Mobil Velocite Oil No. 6";"SPINDLE_OIL";"https://www.mobil.com/en/sap/our-products/products/mobil-velocite-oil-no-6";"";"nein"
"Mobil";"Mobilarma 524";"CORROSION_PROTECTION";"https://www.mobil.com/en/lubricants/for-businesses/industrial/lubricants/products/products/mobilarma-524";"";"nein"
"Motorex";"CS-CLEANER";"ADDITIVE";"https://motorex.com/en-us/cs-cleaner--17854";"https://motorex.com/Pdf/TI/Motorex/Additive/SWISSCARE/CS-CLEANER/CS-CLEANER_EN.pdf";"nein"
"Motorex";"SWISSCARE ANTIFOAM WATER";"ADDITIVE";"https://motorex.com/en/swisscare-antifoam-water--53810";"";"nein"
"Motorex";"SWISSGRIND ZOOM XL";"GRINDING_OIL";"https://motorex.com/en-us/swissgrind-zoom-xl--38366";"";"nein"
"Oemeta";"ADDI-PROX LC";"ADDITIVE";"https://www.oemeta.com/us/products-services/control-additives";"";"nein"
"Oemeta";"HYCUT CF 21 + ADDITIV AE";"COOLANT_WATER_MIX";"https://www.oemeta.com/us/products-services/two-component-metalworking-fluid";"https://www.chemiehandel.ch/images/HYCUT_CF_21_TDS_deutsch.pdf";"nein"
"Oemeta";"HYCUT CF 21 + ADDITIV BF";"COOLANT_WATER_MIX";"https://www.oemeta.com/us/products-services/two-component-metalworking-fluid";"https://www.chemiehandel.ch/images/HYCUT_CF_21_TDS_deutsch.pdf";"nein"
"Oemeta";"HYCUT CF 21 + ADDITIV MG";"COOLANT_WATER_MIX";"https://www.oemeta.com/us/products-services/two-component-metalworking-fluid";"https://www.chemiehandel.ch/images/HYCUT_CF_21_TDS_deutsch.pdf";"nein"
"Oemeta";"HYCUT ET 46 + ADDITIV ET";"COOLANT_WATER_MIX";"https://www.oemeta.com/us/products-services/product?tx_lfmproducts_productdetail%5Bproduct%5D=180";"https://www.chemiehandel.ch/images/HYCUT_ET_46_TDS_deutsch.pdf";"nein"
"Oemeta";"HYCUT SE 12";"GRINDING_OIL";"https://www.oemeta.com/us/products-services/two-component-metalworking-fluid";"https://cdn.shopify.com/s/files/1/0470/9065/files/Hycut_SE_12.pdf";"nein"
